eis_id,title,document,epa_comment_letter_date,federal_register_date,agency,state
85324,1987 Deerlodge National Forest  Noxious Weed Control Program  Herbicide Use  Implementation  Deer Lodge  Granite  Jefferson  Madison  Powell and Silver Bow Counties  MT,Draft Supplement,10/13/1988,08/12/1988,Forest Service,MT
85321,1995 Mendenhall Glacier Recreation Area Management Plan  Implementation  Tongass National Forest  Juneau Ranger District  Chatham Area  AK,Final,06/26/1996,05/10/1996,Forest Service,AK
85277,1996 Olympic Whitewater Slalom Venue  Construction and Operation  Site Selected  Ocoee River  Cherokee National Forest  Ocoee Ranger District  Polk County  TN Published FR - 04-01-94 - Due Date Correction.,Final,04/22/1994,04/01/1994,Forest Service,TN
85046,1986 - 2000 Nantahala and Pisgah National Forests,Final,05/26/1987,05/01/1987,Forest Service,NC
84946,1992 Cleveland Watershed/Fire Recovery Project  Eldorado National Forest  South Fork American River  Eldorado  Alpine and Amador Counties  CA,Final,07/12/1993,06/18/1993,Forest Service,CA
84875,1996 Olympic Whitewater Slalom Venue  Construction and Operation  Site Selected  Ocoee River  Cherokee National Forest  Ocoee Ranger District  Polk County  TN Published FR - 04-01-94 - Due Date Correction.,Draft,01/24/1994,12/10/1993,Forest Service,TN
84260,1991 Warner Creek Fire Recovery Project  Northern Spotted Owl Habitat and Other Resources Reforestation  Northern Spotted Owl Habitat Conservation Area 0-10  Willamette National Forest  Oakridge Ranger District  Lane County  OR,Draft,02/19/1993,11/13/1992,Forest Service,OR
83990,1995 Mendenhall Glacier Recreation Area Management Plan  Implementation  Tongass National Forest  Juneau Ranger District  Chatham Area  AK,Draft,11/21/1995,10/13/1995,Forest Service,AK
83968,1981- 86 and 1986 - 90 Alaska Pulp Long-Term Timber Sale Operating Plan  Phase I and II  Implemenation Tongass National Forest  AK,Final Supplement,01/16/1990,11/24/1989,Forest Service,AK
83960,1987 Deerlodge Nat'l Forest Noxious Weed Control Program  MT,Final,06/25/1987,05/22/1987,Forest Service,MT
83667,1992 Columbia/Snake Rivers Salmon Flow Measures  Updated Information concerning Water Management Activities  Implementation  WA  ID and OR,Final Supplement,04/07/1993,03/05/1993,U.S. Army Corps of Engineers,""
83389,1992 Columbia/Snake Rivers Salmon Flow Measures  Updated Information concerning Water Management Activities  Implementation  WA  ID and OR,Draft Supplement,12/14/1992,10/23/1992,U.S. Army Corps of Engineers,""
83277,1992 Columbia/Snake Rivers Salmon Flow Measures  Implementation  WA  OR and ID,Draft,11/15/1991,09/27/1991,U.S. Army Corps of Engineers,""
83026,1992 Columbia/Snake Rivers Salmon Flow Measures  Implementation  WA  OR and ID,Final,02/07/1992,01/24/1992,U.S. Army Corps of Engineers,""
81244,2004 Pacific Coast Groundfish Fishery Management Plan  Proposed Acceptable Biological Catch and Optimum Yield Specifications and Management Measures  Magnuson- Stevens Act  Exclusive Economic Zone  WA  OR  and CA,Draft,12/16/2003,10/24/2003,National Oceanic and Atmospheric Administration,Multi
81154,2003 Pacific Coast Groundfish Fishery  Proposed Groundfish Acceptable Biological Catch and Optimum Yield Specifications and Management Measures  Implementation  WA  OR and CA,Final,02/18/2003,01/17/2003,National Oceanic and Atmospheric Administration,Multi
81151,2003 Pacific Coast Groundfish Fishery  Proposed Groundfish Acceptable Biological Catch and Optimum Yield Specifications and Management Measures  Implementation  WA  OR  and CA,Draft,12/09/2002,10/25/2002,National Oceanic and Atmospheric Administration,Multi
81139,1995 Regulatory Amendment for the Western Atlantic Bluefin Tuna Fishery  Implementation  Under Section 1506.10(d) of the Council on Environmental Quilaity Regulations For Implementating The Procedural Provisions of the National Environmental Policy Act a,Final,07/21/1995,07/28/1995,National Oceanic and Atmospheric Administration,""
81133,2011 Caribbean Comprehensive Annual Catch Limit (ACL) Amendment for the US Caribbean:  Amendment 6 to the Reef Fish Fishery Management Plan of Puerto Rico and the U.S. Virgin Islands;  Amendment 5 to the Fishery Management Spiny Lobster Fishery of Puerto Rico and the U.S. Virgin Islands;  Amendment 3 to the Fishery Management  Plan for the Queen Conch Resources of Puerto Rico and the U.S. Virgin Islands;  Amendment 3 to the Fishery Management Plan for Corals and Reef  Associated Plants and Invertebrates of Puerto Rico and the U.S. Virgin Islands,Final,12/05/2011,11/04/2011,National Oceanic and Atmospheric Administration,""
81095,2011 Caribbean Comprehensive Annual Catch Limit (ACL) Amendment for the US Caribbean:  Amendment 6 to the Reef Fish Fishery Management Plan of Puerto Rico and the U.S. Virgin Islands;  Amendment 5 to the Fishery Management Spiny Lobster Fishery of Puerto Rico and the U.S. Virgin Islands;  Amendment 3 to the Fishery Management  Plan for the Queen Conch Resources of Puerto Rico and the U.S. Virgin Islands;  Amendment 3 to the Fishery Management Plan for Corals and Reef  Associated Plants and Invertebrates of Puerto Rico and the U.S. Virgin Islands,Draft,09/01/2011,07/15/2011,National Oceanic and Atmospheric Administration,""
80933,2005-2006 Pacific Coast Groundfish Fishery  Proposed Acceptable Biological Catch and Optimum Yield Specifications and Management Measures  WA  OR and CA,Final,12/13/2004,11/12/2004,National Oceanic and Atmospheric Administration,""
80928,2005-2006 Pacific Coast Groundfish Fishery  Proposed Acceptable Biological Catch and Optimum Yield Specifications and Management Measures  WA  OR  and CA,Draft,10/08/2004,08/27/2004,National Oceanic and Atmospheric Administration,Multi
80813,2004 Pacific Coast Groundfish Fishery Management Plan  Proposed Acceptable Biological Catch and Optimum Yield Specifications and Management Measures  Magnuson- Stevens Act  Exclusive Economic Zone  WA  OR  and CA,Final,02/17/2004,01/16/2004,National Oceanic and Atmospheric Administration,Multi
80772,1989 Central and Western Planning Areas Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales No. 118 and 122  Lease Offerings offshore the coast of Alabama  Mississippi  Louisiana and Texas,Final,10/03/1988,09/02/1988,Minerals Management Service,""
80771,1989 North Atlantic Planning Area Outer Continental Shelf (OCS) Oil and Gas Sale No. 96  Lease Offerings  MA  NH  ME  RI  CT  NY and NJ,Draft,05/04/1988,02/26/1988,Minerals Management Service,""
80767,1989 Norton Sound Outer Continental Shelf (OCS) Lease Sale  Placer Mining Program  Implementation and Leasing Offerings  AK,Draft,01/20/1989,12/02/1988,Minerals Management Service,AK
80763,1105 - 1135 Warburton Avenue  River Club Apartment Complex Development and Operation  Funding  City of Yonkers  Westchester County  NY,Final,06/25/2002,05/24/2002,Department of Housing and Urban Development,NY
80739,9300-9499 NW 41st Street Immigration and Naturalization Service Facility Consolidation  Development  Construction and Operation  Leasing  Dade County  FL,Final,04/28/1997,03/28/1997,General Services Administration,FL
80738,1991 Beaufort Sea Outer Continental Shelf (OCS) Oil and Gas Sale 124  Lease Offering  AK,Final,01/23/1991,10/12/1990,Minerals Management Service,AK
80737,1992 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales 139 and 141  Lease Offering  AL  MS  LA and TX,Final,01/10/1992,11/29/1991,Minerals Management Service,""
80729,1105 - 1135 Warburton Avenue  River Club Apartment Complex Development and Operation  Funding  City of Yonkers  Westchester County  NY,Draft,02/01/2001,12/01/2000,Department of Housing and Urban Development,NY
80705,1991 Norton Sound Outer Continental Shelf (OCS) Lease Sale  Placer Mining Program  Implementation and Lease Offerings  AK,Final,04/16/1991,03/15/1991,Minerals Management Service,AK
80704,1988 Chukchi Sea Outer Continental Shelf (OCS) Oil and Gas Sale No. 109  Leasing  AK.,Draft,05/12/1987,03/13/1987,Minerals Management Service,AK
80703,1989 Central and Western Planning Areas Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales No. 118 and 122  Lease Offerings offshore the coast of Alabama  Mississippi  Louisiana and Texas,Draft,06/07/1988,04/01/1988,Minerals Management Service,""
80700,1988 Beaufort Sea Outer Continental Shelf (OCS) Oil and Gas Sale No. 97  Lease Offering  Beaufort and Chukchi Seas  AK,Final,11/12/1987,07/10/1987,Minerals Management Service,AK
80699,1991 Chukchi Sea Outer Continental Shelf (OCS) Oil and Gas Sale 126  Leasing  AK,Final,06/05/1991,02/08/1991,Minerals Management Service,AK
80669,1997 Outer Continental Shelf Oil and Gas Lease Sale 158  Yakutat Planning Area  Implementation  Gulf of Alaska  AK Published FR - 01-26-96 - Correction of Comment Due Date.,Draft,03/20/1996,01/26/1996,Minerals Management Service,AK
80665,1995 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales 152 (April 1995) and 155 (August 1995)  Lease Offering  Offshore Marine Environment and coastal counties  AL  MS  LA and TX,Final,01/11/1995,12/23/1994,Minerals Management Service,""
80634,1993 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Lease Sales No. 142 and No. 143  Lease Offerings  offshore AL  LA  TX and MS,Draft,05/22/1992,04/10/1992,Minerals Management Service,""
80631,1991 Beaufort Sea Outer Continental Shelf (OCS) Oil and Gas Sale 124  Lease Offering  AK,Draft,05/11/1990,03/16/1990,Minerals Management Service,AK
80630,1994 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales 147 (March 1994) and 150 (August 1994)  Lease Offering  AL  MS  LA and TX,Draft,07/29/1993,04/23/1993,Minerals Management Service,""
80628,1991 Chukchi Sea Outer Continental Shelf (OCS) Oil and Gas Sale 126  Leasing  AK,Draft,09/04/1990,07/20/1990,Minerals Management Service,AK
80601,1994 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales 147 (March 1994) and 150 (August 1994)  Lease Offering  AL  MS  LA and TX,Final,12/15/1993,11/19/1993,Minerals Management Service,""
80597,1988 Chukchi Sea Outer Continental Shelf (OCS) Oiland Gas Sale No. 109  Leasing  AK,Final,02/26/1988,12/27/1987,Minerals Management Service,AK
80571,1988 Central  Western  and Eastern Gulf of Mexico OCS Oil and Gas Sale Nos. 113  115  and 116  Lease Offerings  Offshore AL  FL  LA  MS  and TX,Draft,07/09/1987,05/08/1987,Minerals Management Service,""
80568,1992 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales 139 and 141  Lease Offering,Draft,06/28/1991,04/26/1991,Minerals Management Service,""
80539,1988 Central  Western and Eastern Gulf of Mexico  Outer Continental Shelf (OCS) Oil/Gas Sales Nos. 113  115  and 116  Lease Offerings  TX  AL  FL  LA and MS,Final,11/23/1987,10/16/1987,Minerals Management Service,""
80537,1995 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales 152 (April 1995) and 155 (August 1995)  Lease Offering  Offshore Marine Environment and coastal counties  AL  MS  LA and TX,Draft,06/27/1994,05/13/1994,Minerals Management Service,""
80508,1991 Central  Western and Eastern Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales Nos. 131  135 and 137  Lease Offering  LA  TX  MS  AL and FL,Final,10/22/1990,09/21/1990,Minerals Management Service,""
80506,1996 Central and Western Gulf of Mexico Outer Continental Shelf (OSC) Oil and Gas Lease Sales No. 157 (March 1996) and No. 161 (August 1996)  Lease Offerings  Offshore coastal counties and parishes of AL  MS  LA and TX,Final,12/15/1995,12/08/1995,Minerals Management Service,""
80504,1991 Norton Sound Outer Continental Shelf (OCS) Lease Sale  Placer Mining Program  Implementation and Lease Offerings  AK Published FR 06-15-90 - Title correction.,Second Draft,08/03/1990,06/15/1990,Minerals Management Service,AK
80503,1993 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Lease Sales No. 142 and No. 143  Lease Offerings  offshore AL  LA  TX and MS,Final,12/04/1992,11/06/1992,Minerals Management Service,""
80502,1991 Central  Western and Eastern Gulf of Mexico Outer Continental Shelfs (OCS) Oil and Gas Sales 131  135 and 137  Lease Offering  LA  TX  MS  AL and FL,Draft,05/11/1990,03/09/1990,Minerals Management Service,""
80500,9300-9499 NW 41st Street Immigration and Naturalization Service Facility Consolidation  Development  Construction and Operation  Leasing  Dade County  FL,Draft,02/10/1997,01/24/1997,General Services Administration,FL
80296,1996 Central and Western Gulf of Mexico Outer Continental Shelf (OSC) Oil and Gas Lease Sales No. 157 (March 1996) and No. 161 (August 1996)  Lease Offerings  Offshore coastal counties and parishes of AL  MS  LA and TX,Draft,08/03/1995,04/21/1995,Minerals Management Service,""
80206,1015 Second Avenue Property  Involving Disposition of the Property Either Through Transfer  Donations  or Sale  Downtown Seattle  WA,Final,12/08/2011,11/25/2011,Federal Reserve Bank of San Francisco,WA
80205,1015 Second Avenue Property  Involving Disposition of the Property Either Through Transfer  Donations  or Sale  Downtown Seattle  WA,Draft,08/10/2011,07/01/2011,Federal Reserve Bank of San Francisco,WA
75043,1987 Rangeland Grasshopper Cooperative Mgmt. Program  CA  WA  UT  AZ  AR  CO  NM  WY  ID  TX  ND  SD  OR  MT  KS  NB  NV  and OK,Final,05/08/1987,03/20/1987,Animal and Plant Health Inspection Service,""
82375,500-kV Transmission Lin in Middle Tennessee Construction and Operation  Cumberland Fossil Plant to either the Montgomery 500-kV Substation  Montgomery County  or the Davidson 500-kV Substation  Davidson County  Stewart  Houston  Montgomery  Dickerson  Cheatham and Davidson Counties  TN,Final,08/22/2005,07/22/2005,Tennessee Valley Authority,TN
80647,158th Fighter Wing Vermont Air National Guard Project  Proposed Realignment of National Guard Avenue and Main Gate Construction  Burlington International Airport in South Burlington  VT,Draft,12/14/2009,10/30/2009,NGB,VT
76489,158th Fighter Wing Vermont Air National Guard Project  Proposed Realignment of National Guard Avenue and Main Gate Construction  Burlington International Airport in South Burlington  VT,Final,09/07/2010,08/13/2010,Department of Defense,VT
88380,75th Street Corridor Improvement Project,Final,11/10/2014,10/10/2014,Federal Highway Administration,IL
88105,75th Street Corridor Improvement Project,Draft,05/22/2014,03/28/2014,Federal Highway Administration,IL
86740,49 Degrees North Mountain Resort Revised Master Development Plan  Implementation  Colville National Forest  Newport Ranger District  Stevens County  WA,Draft,06/30/2003,05/16/2003,Forest Service,WA
86262,18 Fire Recovery Project  Salvaging Dead Trees  Reforesting 1 936 Acres with Ponderosa Pine Seedling and Closing/Decommissioning Roads  Deschutes National Forest  Bend Fort Rock Ranger District  Deschutes County  OR,Draft,07/30/2004,07/02/2004,Forest Service,OR
86205,49 Degrees North Mountain Resort Revised Master Development Plan  Implementation  Colville National Forest  Newport Ranger District  Stevens County  WA,Final,07/06/2004,05/28/2004,Forest Service,WA
86014,18 Fire Recovery Project  Salvaging Dead Trees  Reforesting 1 936 Acres with Ponderosa Pine Seedling and Closing/Decommissioning Roads  Deschutes National Forest  Bend Fort Rock Ranger District  Deschutes County  OR,Final,11/05/2004,10/08/2004,Forest Service,OR
85573,64 - Acre Tract Intermodal Transit Center  Construction and Operation   Lake Tahoe Basin Management Unit  Tahoe City  Placer County  CA,Draft,07/11/2000,05/26/2000,Forest Service,CA
85044,64 - Acre Tract Intermodal Transit Center  Construction and Operation Lake  Tahoe Basin Management Unit  Tahoe City  Placer County  CA,Final,10/19/2000,10/20/2000,Forest Service,CA
82596,10 CFR Part 20: Support of Rulemaking on Radiological Criteria for Decommissioning of NRC-Licensed Nuclear Facilities (NUREG-1496)  Implementation  Generic EIS,Final,08/12/1997,07/18/1997,Nuclear Regulatory Commission,""
79885,14th Street Bridge Corridor Project  To Reduce Congestion  Enhance Safety and Improve Traffic Operation  Funding  Arlington  VA to Washington  DC,Draft,03/05/2012,01/20/2012,Federal Highway Administration,DC
79867,11th Street Bridges Project  Anacostia Freeway I-295/DC 295  to the Southeast/Southwest Freeway (I-695) Improvements  Funding  NPDES Permit   U.S. Army COE Section 10 and 404 Permits  Washington  D.C.,Final,10/24/2007,10/12/2007,Federal Highway Administration,DC
79534,11th Street Bridges Project  Anacostia Freeway I-295/DC 295  to the Southeast/Southwest Freeway (I-695) Improvemets  Funding  NPDES Permit   U.S. Army COES Section 10 and 404 Permits  Washington  D.C.,Draft,08/25/2006,06/30/2006,Federal Highway Administration,DC
79115,12th Street Improvement Project  I-495/12th Street Interchange to the Central Business District of Wilmington at Walnut Street  Funding and 404 Permit  New Castle County  DE,Draft,02/15/1988,12/31/1987,Federal Highway Administration,DE
77847,15L/33R Runway Extension  Baltimore/Washington International Airport  Approval and Funding  Anne Arundel County  MD Published FR 4-7-89 - Review period REESTABLISHED. The 30 day NEPA wait period is calculated from 4-21-89.,Final,05/22/1989,04/07/1989,Federal Aviation Administration,MD
77502,15L/33R Runway Extension  Baltimore/Washington International Airport  Approval and Funding  Anne Arundel County  MD,Draft,09/08/1988,07/15/1988,Federal Aviation Administration,MD
77200,14-Mile Border Infrastructure System Completion  along the United States/Mexico Border  Area 1  5 and 6  Pacific Ocean to just east of Tin Can Hill  San Diego County  CA,Final,09/26/2003,08/01/2003,Department of Justice,CA
77093,14-Mile Border Infrastructure System Completion  along the United States/Mexico Border  Area 1  5 and 6  Pacific Ocean to just east of Tin Can Hill  San Diego County  CA,Draft,04/19/2002,02/01/2002,Department of Justice,CA
219559,3 Bars Ecosystem and Landscape Restoration Project,Final,"",10/28/2016,Bureau of Land Management,NV
89096,3 Bars Ecosystem and Landscape Restoration Project,Draft,11/26/2013,09/27/2013,Bureau of Land Management,NV
83739,9-Foot Navigation Channel Project  Channel Maintenance Management Plan  Upper Mississippi River Head of Navigation to Guttenberg  IA  Implementation  MN  WI and IA,Final,"",04/04/1997,U.S. Army Corps of Engineers,""
81934,9-Foot Navigation Channel Project  Channel Maintenance Management Plan  Upper Mississippi River Head of Navigation to Guttenberg  IA  Implementation  MN  WI and IA,Draft,01/21/1997,11/22/1996,U.S. Army Corps of Engineers,""
81923,2nd Armored Cavalry Regiment Transformation and Installation Mission Support  Joint Readiness Training Center (JRTC) Stryker Bridgade Combat Team  Long-Term Military Training Use of Kisatchie National Forest Lands  Fort Polk  LA,Final,04/19/2004,03/19/2004,United States Army,LA
81898,2nd Armored Cavalry Regiment Transformation and Installation Mission Support  Joint Readiness Training Center (JRTC) Stryker Brigade Combat Team  Long-Term Military Training Use of Kisatchie National Forest Lands  Fort Polk  LA,Draft,09/15/2003,08/01/2003,United States Army,LA
79903,6th Street Viaduct Seismic Improvement Project  Retrofitting or Demolition and Replacement of the Existing Viaduct over the Los Angeles river between Mateo and Mill Streets                      Los Angeles County  CA,Draft,08/24/2009,07/10/2009,Federal Highway Administration,CA
79879,6th Street Viaduct Seismic Improvement Project  Retrofitting or Demolition and Replacement of the Existing Viaduct over the Los Angeles river between Mateo and Mill Streets                      Los Angeles County  CA,Final,11/30/2011,11/04/2011,Federal Highway Administration,CA
79579,1st Street Viaduct and Street Widening Project  To Replace Two Traffic Lanes on the 1st Street Viaduct between Vignes Street and Mission Road  Funding  in the City and County of Los Angeles  CA,Draft,04/11/2005,02/25/2005,Federal Highway Administration,CA
79392,1st Street Viaduct and Street Widening Project  To Replace Two Traffic Lanes on the 1st Street Viaduct between Vignes Street and Mission Road  Funding  in the City and County of Los Angeles  CA,Final,01/23/2006,12/23/2005,Federal Highway Administration,CA
79296,6th and 7th Avenue Couplet/OR-99 Extension  Garfield Street to West 11 Avenue/OR-126/Florence Eugene Highway  Funding  Lane County  OR,Final,11/07/1990,01/12/1990,Federal Highway Administration,OR
75645,3R Minerals Coal Bed Canyon Mine Plan  Approval  Grand Staircase-Escalante National Monument  Garfield County  UT,Draft,12/04/2000,10/06/2000,Bureau of Land Management,UT
75423,3R Minerals Coal Bed Canyon Mine Plan  Approval  Grand Staircase-Escalante National Monument  Garfield County  UT,Final,05/29/2002,04/26/2002,Bureau of Land Management,UT
224106,Oil and Gas Leasing in Portions of the Wyoming Range in the Bridger-Teton National Forest,Final,"",12/16/2016,Forest Service,WY
223884,Silvio O. Conte National Fish and Wildlife Refuge Final Comprehensive Conservation Plan,Final,"",12/16/2016,Fish and Wildlife Service,Multi
223879,Reno Creek In Situ Recovery Project,Final,"",12/16/2016,Nuclear Regulatory Commission,WY
223861,Designation of Dredged Material Disposal Site(s) in Eastern Long Island Sound (ELIS),Final Supplement,"",12/16/2016,Environmental Protection Agency,Multi
223828,"Address the Presence of Wolves, Isle Royale National Park",Draft,"",12/16/2016,National Park Service,MI
223815,Deepwater Horizon Oil Spill Draft Restoration Plan I and EIS_Provide and Enhance Recreational Opportunities,Draft,"",12/16/2016,National Oceanic and Atmospheric Administration,AL
223689,Wilton Rancheria Fee-to-Trust and Casino Project,Final,"",12/16/2016,Bureau of Indian Affairs,CA
223669,Sonoran Desert National Monument Target Shooting Draft Resource Management Plan Amendment,Draft,"",12/16/2016,Bureau of Land Management,AZ
223654,Ten Lakes Travel Management Project,Draft,"",12/16/2016,Forest Service,MT
223645,Heeia National Estuarine Research Reserve,Final,"",12/16/2016,National Oceanic and Atmospheric Administration,HI
223581,West Lake Corridor Project,Draft,"",12/16/2016,Federal Transit Administration,Multi
223530,"Update of the Water Control Manual for the Apalachicola-Chattahoochee-Flint River Basin in Alabama, Florida, and Georgia and a Water Supply Storage Assessment",Final,"",12/16/2016,U.S. Army Corps of Engineers,Multi
223481,Reduce the Incidental Bycatch and Mortality of Sea Turtles in the Southeastern U.S. Shrimp Fisheries,Draft,"",12/16/2016,National Marine Fisheries Service,Multi
223436,ADOPTION - Potomac Yard Metrorail Station,Final,"",12/09/2016,National Park Service,VA
223261,Golden Gate National Recreation Area Dog Management Plan,Final,"",12/09/2016,National Park Service,CA
223176,"Lower Klamath, Clear Lake, Tule Lake, Upper Klamath, and Bear Valley National Wildlife Refuges, Final Comprehensive Conservation Plan",Final,"",12/09/2016,Fish and Wildlife Service,Multi
223171,Johnson Bar Fire Salvage Project,Draft Supplement,"",12/16/2016,Forest Service,ID
223161,Cape Lookout National Seashore Off-Road Vehicle Management Plan,Final,"",12/09/2016,National Park Service,NC
223052,Petition (15-300-01p) for Determination of Nonregulated Status for ASR368 Creeping Bentgrass,Final,"",12/09/2016,Animal and Plant Health Inspection Service,NAT
223034,Eagle Take Permits for the Chokecherry and Sierra Madre Phase I Wind Energy Project,Final,"",12/09/2016,Fish and Wildlife Service,WY
222951,Nexus Gas Transmission Project and Texas Eastern Appalachian Lease Project,Final,"",12/09/2016,Federal Energy Regulatory Commission,Multi
222941,Rahway River Basin Flood Risk Management Plan,Draft,"",12/09/2016,U.S. Army Corps of Engineers,NJ
222924,Long-term Conservation Strategy for the Marbled Murrelet,Draft,"",12/09/2016,Fish and Wildlife Service,WA
222803,"Mississippi River Ship Channel, Gulf to Baton Rouge, Louisiana",Draft Supplement,"",12/16/2016,U.S. Army Corps of Engineers,LA
222769,Multiple Reservoir Land Management Plans,Draft,"",12/02/2016,Tennessee Valley Authority,Multi
222537,ADOPTION - Central Everglades Planning Program,Final,"",12/02/2016,National Park Service,FL
222495,Na Pua Makani Wind Project and Habitat Conservation Plan,Final Supplement,"",11/25/2016,Fish and Wildlife Service,HI
222489,Snowmass Multi-Season Recreation Projects,Draft,"",11/25/2016,Forest Service,CO
222481,ADOPTION - Programmatic-Habitat Restoration Activities Implemented Throughout the Coastal United States,Final,"",11/25/2016,Fish and Wildlife Service,NAT
222256,Proposed Land use Plan Amendment for the Boardman to Hemingway Transmission Line Project,Final,"",11/25/2016,Bureau of Land Management,Multi
222198,Port Delfin Project Deepwater Port Application,Final,"",11/25/2016,U.S. Coast Guard,Multi
222166,Outer Continental Shelf Oil and Gas Leasing Program:2017-2022,Final,"",11/25/2016,Bureau of Ocean Energy Management,Multi
222152,Pack and Saddle Stock Outfitter-Guide Special Use Permit Issuance,Draft Supplement,"",11/25/2016,Forest Service,WA
222085,NYS Route 198 (Scajaquada Expressway) Corridor Project,Draft,"",11/25/2016,Federal Highway Administration,NY
222021,Baltimore and Potomac Tunnel,Final,"",11/25/2016,Federal Railroad Administration,MD
221553,Rulemaking for Colorado Roadless Areas,Final Supplement,"",11/18/2016,Forest Service,CO
221539,Bruneau-Owyhee Sage-grouse Habitat Project (BOSH),Draft,"",11/18/2016,Bureau of Land Management,ID
221472,Stream Protection Rule,Final,"",11/16/2016,Office of Surface Mining,PRO
221238,Federal Way Link Extension,Final,"",11/18/2016,Federal Transit Administration,WA
221196,SR 87 Connector,Final,"",11/25/2016,Federal Highway Administration,FL
221181,KC-46A Third Main Operating Base (MOB-3) Beddown,Draft,"",11/18/2016,United States Air Force,Multi
220948,Construction Permit for the Northwest Medical Isotopes Radioisotope Production Facility,Draft,"",11/10/2016,Nuclear Regulatory Commission,MO
220924,Beaverhead-Deerlodge National Forest Land and Resource Management Plan to Comply with the District Court Order (Bighorn Sheep) 2009 Revised Forest Plan,Draft Supplement,"",11/10/2016,Forest Service,MT
220791,Programmatic - Eagle Rule Revision,Final,"",11/10/2016,Fish and Wildlife Service,PRO
220779,"EA-18G ""Growler"" Airfield Operations at the NAS Whidbey Island Complex",Draft,"",11/10/2016,United States Navy,WA
220695,Coeur d Alene Basin Natural Resource Restoration Plan,Draft,"",11/10/2016,Forest Service,ID
220561,State Route 241-91 Tolled Express Lanes Connector Project,Draft Supplement,"",11/10/2016,California Department of Transit,Multi
220145,Upper Monument Creek Landscape Restoration,Draft,"",11/04/2016,Forest Service,CO
220130,Combine Licenses (COLs) for Turkey Point Nuclear Plant Units 6 and 7 ,Final,"",11/04/2016,Nuclear Regulatory Commission,FL
220102,State Route 79 Realignment Project: Domenigoni Parkway to Gilman Springs Road,Final,12/05/2016,11/04/2016,California Department of Transit,CA
220090,Mississippi River between the Ohio and Missouri Rivers (Regulating Works),Draft Supplement,"",11/04/2016,U.S. Army Corps of Engineers,Multi
